-46.70697,-23.66246
-46.7069,-23.66238
-46.70641,-23.66185
-46.70636,-23.66179
-46.70627,-23.66166
-46.70622,-23.66159
-46.70612,-23.66145
-46.70607,-23.66137
-46.70603,-23.66132
-46.70598,-23.66125
-46.70588,-23.66115
-46.70579,-23.66108
-46.70573,-23.66102
-46.70567,-23.66098
-46.70565,-23.66096
-46.70559,-23.6609
-46.70553,-23.66084
-46.70545,-23.66078
-46.70534,-23.6607
-46.70528,-23.66064
-46.70521,-23.66057
-46.70516,-23.66051
-46.705,-23.66037
-46.70496,-23.66032
-46.70494,-23.66022
-46.70486,-23.66019
-46.70502,-23.65977
-46.70511,-23.65954
-46.70513,-23.6595
-46.70515,-23.65946
-46.7052,-23.65939
-46.70524,-23.65933
-46.70532,-23.65922
-46.70537,-23.65916
-46.70555,-23.65891
-46.70558,-23.65884
-46.70561,-23.65878
-46.70568,-23.65866
-46.70576,-23.65853
-46.70579,-23.65849
-46.70584,-23.65846
-46.70587,-23.65839
-46.70588,-23.65836
-46.70596,-23.65838
-46.70598,-23.65831
-46.706,-23.65826
-46.70604,-23.65809
-46.70622,-23.65743
-46.70624,-23.65736
-46.70642,-23.65672
-46.70651,-23.65637
-46.7066,-23.65603
-46.70662,-23.65596
-46.70668,-23.65572
-46.7068,-23.65529
-46.70685,-23.65506
-46.70687,-23.65493
-46.70687,-23.65486
-46.70695,-23.65483
-46.70702,-23.6548
-46.70725,-23.65467
-46.70732,-23.65463
-46.70749,-23.65452
-46.70751,-23.6545
-46.70753,-23.65448
-46.70754,-23.65445
-46.70755,-23.65441
-46.70755,-23.65439
-46.70759,-23.65422
-46.70762,-23.6541
-46.70761,-23.65403
-46.70762,-23.654
-46.70763,-23.65393
-46.70788,-23.65395
-46.70791,-23.65392
-46.70795,-23.65392
-46.70804,-23.65392
-46.70819,-23.65393
-46.70827,-23.65393
-46.70833,-23.65394
-46.70854,-23.65397
-46.70872,-23.65399
-46.70883,-23.654
-46.70888,-23.65401
-46.70892,-23.65401
-46.709,-23.654
-46.70911,-23.65398
-46.70931,-23.65394
-46.70937,-23.65393
-46.70941,-23.65392
-46.70946,-23.65392
-46.70949,-23.65392
-46.70952,-23.65391
-46.70971,-23.6539
-46.70972,-23.65391
-46.70992,-23.6539
-46.71035,-23.65388
-46.71049,-23.65388
-46.71056,-23.65388
-46.71063,-23.65387
-46.71067,-23.65386
-46.71071,-23.65386
-46.71075,-23.65385
-46.71082,-23.65383
-46.71089,-23.65381
-46.71095,-23.6538
-46.711,-23.6538
-46.71106,-23.6538
-46.71111,-23.6538
-46.71114,-23.65381
-46.71144,-23.65384
